Document Title,Policy subpart,Source,Payer,Plan Bucket,PBM,Plan Types,States,Number of States,Plan Types and States,Document Type,Categories,Link to Policy/Formulary PDF,Link to Revision History,Policy Identifier,Link to PDF Formulary (Broken),Policy Last Updated,Status,Review date,Next review date (payer defined),Next review date (est.), Medical Covered Lives,Plan Type(s),CGMs Covered,Device Type Covered (from CGMs Covered),CGMs Preferred,Device Type Preferred (from CGMs Preferred),AIDs Covered,AIDs Preferred,CGM Coverage/Distribution Path,Diabetes Diagnosis,Multiple insulin injections daily or insulin pump use,Inadequate glycemic control,Episodes of hyperglycemia,Episodes of hypoglycemia,Hypoglycemia unawareness,Demonstrated understanding of and willingness to use technology,Age criteria,Self monitoring of glucose levels,Reference to clinical treatment guidelines,Compatability override,Replacement criteria,Renewal criteria,Policy includes coding recommendations,Summary of criteria,Review Complete,Sensor quantity limit,Review Comments,CHIR Review Fields Last Modified,AIDs Excluded,CGMs Excluded,Device Type Excluded,UM Prior Auth.,UM Step Therapy,UM QL,PA approval length,Clinical guideline or PA vendor referenced,Policy document is used by other focus payers (check all),Policy document is used by other commercial payers (list all),Policy document is used by at least one Medicaid MCO,uuid_formula,airtable_uuid
Cigna Legacy (Performance) 3-Tier Prescription Drug List (CDI) (CA Health Plan),,Formulary Database,Cigna,,Express Scripts by Evernorth,Health Plan,CA,1,Health Plan: [CA],Formulary,,https://www.cigna.com/static/www-cigna-com/docs/individuals-families/member-resources/prescription/ca-legacy-perf-3-tier-cdi.pdf,https://portal.policyreporter.com/policy-updates/268514,268514,https://portal.policyreporter.com/geturlupdate.php?urlid=%1268514&updateid=%24570418,10/23/2024,,,,,,Unspecified,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Eversense E3 rtCGM,Eversense 365,Medtronic Guardian 3 rtCGM,Medtronic Guardian 4 rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Implantable rtCGM,Implantable rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM","Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM","Minimed 630G,Omnipod 5",Omnipod 5,,,,,,,,,,,,,,,,,Final,,Selected all Guardian and Eversense CGMs since doc did not specify.,6/4/2025 10:44am,,,,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM",,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM",,,,,,CHIR_IDrecLf3fWd431A9nHM-268514-CACigna Legacy (P,recLf3fWd431A9nHM
Cigna Legacy (Performance) 4-Tier Prescription Drug List (CDI) (CA Health Plan),,Formulary Database,Cigna,,Express Scripts by Evernorth,Health Plan,CA,1,Health Plan: [CA],Formulary,,https://www.cigna.com/static/www-cigna-com/docs/individuals-families/member-resources/prescription/ca-legacy-perf-4-tier-cdi.pdf,https://portal.policyreporter.com/policy-updates/268515,268515,https://portal.policyreporter.com/geturlupdate.php?urlid=%1268515&updateid=%24788515,3/1/2025,,,,,,Unspecified,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Eversense E3 rtCGM,Eversense 365,Medtronic Guardian 3 rtCGM,Medtronic Guardian 4 rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Implantable rtCGM,Implantable rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM","Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM","Minimed 630G,Omnipod 5",Omnipod 5,,,,,,,,,,,,,,,,,Final,,Selected all Guardian and Eversense CGMs since doc did not specify.,6/4/2025 10:44am,,,,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM",,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM",,,,,,CHIR_IDrecYVBm9MdEPWXQeU-268515-CACigna Legacy (P,recYVBm9MdEPWXQeU
Cigna National 3-Tier Prescription Drug List (CDI) (CA Health Plan),,Formulary Database,Cigna,,Express Scripts by Evernorth,Health Plan,CA,1,Health Plan: [CA],Formulary,,https://www.cigna.com/static/www-cigna-com/docs/individuals-families/member-resources/prescription/ca-cigna-national-pref-3-tier-cdi.pdf,https://portal.policyreporter.com/policy-updates/268519,268519,https://portal.policyreporter.com/geturlupdate.php?urlid=%1268519&updateid=%24799313,3/6/2025,,,,,,Unspecified,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Medtronic Guardian 4 rtCGM,Eversense E3 rtCGM,Eversense 365,Medtronic Guardian 3 rtCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM,Transcutaneous rtCGM,Implantable rtCGM,Implantable rtCGM,Transcutaneous rtCGM","Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM","Omnipod 5,iLet,Minimed 770G,Minimed 780G,Mobi","iLet,Minimed 770G,Minimed 780G,Omnipod 5,Mobi",,,,,,,,,,,,,,,,,Final,,Selected all Minimed AIDs since documentation did not specify. Selected all Eversense CGMs since documentation did not specify,6/4/2025 10:44am,,,,"Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Medtronic Guardian 4 rtCGM,Dexcom G6 rtCGM,Dexcom G7 rtCGM,Eversense 365,Eversense E3 rtCGM",,"Abbott FreeStyle Libre 3 Plus rtCGM,Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 isCGM,Eversense E3 rtCGM,Eversense 365",,,,,,CHIR_IDrec3JRUHq6kAMUXBe-268519-CACigna National ,rec3JRUHq6kAMUXBe
Cigna National 3-Tier Prescription Drug List (DHMC) (CA Health Plan),,Formulary Database,Cigna,,Express Scripts by Evernorth,Health Plan,CA,1,Health Plan: [CA],Formulary,,https://www.cigna.com/static/www-cigna-com/docs/individuals-families/member-resources/prescription/ca-cigna-national-pref-3-tier-dhmc.pdf,https://portal.policyreporter.com/policy-updates/268520,268520,https://portal.policyreporter.com/geturlupdate.php?urlid=%1268520&updateid=%24799320,3/6/2025,,,,,,Unspecified,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Medtronic Guardian 4 rtCGM,Eversense E3 rtCGM,Eversense 365,Medtronic Guardian 3 rtCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM,Transcutaneous rtCGM,Implantable rtCGM,Implantable rtCGM,Transcutaneous rtCGM","Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM","Omnipod 5,iLet,Minimed 770G,Minimed 780G,Mobi","iLet,Minimed 770G,Minimed 780G,Omnipod 5,Mobi",,,,,,,,,,,,,,,,,Final,,Selected all Minimed AIDs since documentation did not specify. Selected all Eversense CGMs since documentation did not specify,6/4/2025 10:44am,,,,"Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Medtronic Guardian 4 rtCGM,Dexcom G6 rtCGM,Dexcom G7 rtCGM,Eversense 365,Eversense E3 rtCGM",,"Abbott FreeStyle Libre 3 Plus rtCGM,Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 isCGM,Eversense E3 rtCGM,Eversense 365",,,,,,CHIR_IDrecx3sTGQuwDRV5AK-268520-CACigna National ,recx3sTGQuwDRV5AK
Cigna National Preferred 4-Tier Prescription Drug List (CDI) (CA Health Plan),,Formulary Database,Cigna,,Express Scripts by Evernorth,Health Plan,CA,1,Health Plan: [CA],Formulary,,https://www.cigna.com/static/www-cigna-com/docs/ca-cnpf-4-tier-splitgenerics-doi.pdf,https://portal.policyreporter.com/policy-updates/316786,316786,https://portal.policyreporter.com/geturlupdate.php?urlid=%1316786&updateid=%24798490,3/6/2025,,,,,,Unspecified,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Medtronic Guardian 4 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM,Transcutaneous rtCGM,Transcutaneous rtCGM","Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM","iLet,Omnipod 5,t:slim X2 with control-IQ,Mobi,Minimed 630G,Minimed 670G,Minimed 770G,Minimed 780G","iLet,Omnipod 5,t:slim X2 with control-IQ,Mobi,Minimed 630G,Minimed 670G,Minimed 770G,Minimed 780G",,,,,,,,,,,,,,,,,Final,,Selected all Minimed AIDs since documentation did not specify. ,6/4/2025 10:44am,,,,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Medtronic Guardian 4 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM",Abbott FreeStyle Libre 2 isCGM,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Medtronic Guardian 4 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM",,,,,,CHIR_IDrecz9PX0eb2hqzpIV-316786-CACigna National ,recz9PX0eb2hqzpIV
Cigna National Preferred 4-Tier Prescription Drug List (DMHC) (CA Health Plan),,Formulary Database,Cigna,,Express Scripts by Evernorth,Health Plan,CA,1,Health Plan: [CA],Formulary,,https://www.cigna.com/static/www-cigna-com/docs/ca-cnpf-4-tier-splitgenerics-hmo.pdf,https://portal.policyreporter.com/policy-updates/316787,316787,https://portal.policyreporter.com/geturlupdate.php?urlid=%1316787&updateid=%24798492,3/6/2025,,,,,,Unspecified,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Medtronic Guardian 4 rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM","Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM","iLet,Omnipod 5,t:slim X2 with control-IQ,Mobi,Minimed 630G,Minimed 670G,Minimed 770G,Minimed 780G","iLet,Omnipod 5,t:slim X2 with control-IQ,Mobi,Minimed 630G,Minimed 670G,Minimed 770G,Minimed 780G",,,,,,,,,,,,,,,,,Final,,Selected all Minimed AIDs since documentation did not specify. ,6/4/2025 10:44am,,,,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Medtronic Guardian 4 rtCGM,Abbott FreeStyle Libre 14 isCGM",Abbott FreeStyle Libre 2 isCGM,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Medtronic Guardian 4 rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM",,,,,,CHIR_IDrecFVf6CGLVgwPnNp-316787-CACigna National ,recFVf6CGLVgwPnNp
Cigna National Preferred 4-Tier Prescription Drug List (Health Plan),,Formulary Database,Cigna,,Express Scripts by Evernorth,Health Plan,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY",53,"Health Plan: [AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY]",Formulary,,https://www.cigna.com/static/www-cigna-com/docs/cigna-national-preferred-prescription-4-tier-abridged.pdf,https://portal.policyreporter.com/policy-updates/316780,316780,https://portal.policyreporter.com/geturlupdate.php?urlid=%1316780&updateid=%24874886,5/1/2025,,,,,,Unspecified,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM",,,"iLet,Minimed 630G,Minimed 670G,Minimed 770G,Minimed 780G,Mobi,Omnipod 5",,,,,,,,,,,,,,,,,,Final,,"Doc is a list of some of the most commonly prescribed medications, not a full list
",6/4/2025 10:44am,,,,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM",,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM",,,,,,CHIR_IDrec69p4dVMkC7nJwK-316780-AKCigna National ,rec69p4dVMkC7nJwK
Cigna National Preferred 4-Tier Specialty Prescription Drug List (CDI) (CA Health Plan),,Formulary Database,Cigna,,Express Scripts by Evernorth,Health Plan,CA,1,Health Plan: [CA],Formulary,,https://www.cigna.com/static/www-cigna-com/docs/ca-cnpf-4-tier-specialty-doi.pdf,https://portal.policyreporter.com/policy-updates/316788,316788,https://portal.policyreporter.com/geturlupdate.php?urlid=%1316788&updateid=%24798495,3/6/2025,,,,,,Unspecified,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Medtronic Guardian 4 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM,Transcutaneous rtCGM,Transcutaneous rtCGM","Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Abbott FreeStyle Libre 2 Plus rtCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM,Transcutaneous rtCGM","iLet,Omnipod 5,t:slim X2 with control-IQ,Mobi,Minimed 630G,Minimed 670G,Minimed 770G,Minimed 780G","iLet,Omnipod 5,t:slim X2 with control-IQ,Mobi,Minimed 630G,Minimed 670G,Minimed 770G,Minimed 780G",,,,,,,,,,,,,,,,,Final,,Selected all Minimed AIDs since documentation did not specify. ,6/4/2025 10:44am,,,,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM",,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM",,,,,,CHIR_IDrecjT083Nk14tOagv-316788-CACigna National ,recjT083Nk14tOagv
Cigna National Preferred 4-Tier Specialty Prescription Drug List (DMHC) (CA Health Plan),,Formulary Database,Cigna,,Express Scripts by Evernorth,Health Plan,CA,1,Health Plan: [CA],Formulary,,https://www.cigna.com/static/www-cigna-com/docs/ca-cnpf-4-tier-specialty-hmo.pdf,https://portal.policyreporter.com/policy-updates/316789,316789,https://portal.policyreporter.com/geturlupdate.php?urlid=%1316789&updateid=%24798502,3/6/2025,,,,,,Unspecified,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Medtronic Guardian 4 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM,Transcutaneous rtCGM,Transcutaneous rtCGM","Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Abbott FreeStyle Libre 2 Plus rtCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM,Transcutaneous rtCGM","iLet,Omnipod 5,t:slim X2 with control-IQ,Mobi,Minimed 630G,Minimed 670G,Minimed 770G,Minimed 780G","iLet,Omnipod 5,t:slim X2 with control-IQ,Mobi,Minimed 630G,Minimed 670G,Minimed 770G,Minimed 780G",,,,,,,,,,,,,,,,,Final,,Selected all Minimed AIDs since documentation did not specify. ,6/4/2025 10:44am,,,,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Medtronic Guardian 4 rtCGM",,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Medtronic Guardian 4 rtCGM",,,,,,CHIR_IDrecwKFCq7JLOuT0Bi-316789-CACigna National ,recwKFCq7JLOuT0Bi
Cigna National Preferred 4-Tier Specialty Prescription Drug List (Health Plan),,Formulary Database,Cigna,,Express Scripts by Evernorth,Health Plan,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY",53,"Health Plan: [AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY]",Formulary,,https://www.cigna.com/static/www-cigna-com/docs/cigna-national-preferred-prescription-4-tier-specialty-abridged.pdf,https://portal.policyreporter.com/policy-updates/316781,316781,https://portal.policyreporter.com/geturlupdate.php?urlid=%1316781&updateid=%24874889,5/1/2025,,,,,,Unspecified,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM",,,"iLet,Minimed 630G,Minimed 670G,Minimed 770G,Minimed 780G,Mobi,Omnipod 5",,,,,,,,,,,,,,,,,,Final,,"Doc is a list of some of the most commonly prescribed medications, not a full list
",6/4/2025 10:44am,,,,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM",,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM",,,,,,CHIR_IDrecbkHlq7SP7Ogt7i-316781-AKCigna National ,recbkHlq7SP7Ogt7i
Cigna National Preferred 5-Tier Prescription Drug List (DMHC) (CA Health Plan),,Formulary Database,Cigna,,Express Scripts by Evernorth,Health Plan,CA,1,Health Plan: [CA],Formulary,,https://www.cigna.com/static/www-cigna-com/docs/ca-cnpf-5-tier-splitgenerics-hmo.pdf,https://portal.policyreporter.com/policy-updates/316792,316792,https://portal.policyreporter.com/geturlupdate.php?urlid=%1316792&updateid=%24798505,3/6/2025,,,,,,Unspecified,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Medtronic Guardian 4 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM,Transcutaneous rtCGM,Transcutaneous rtCGM","Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Abbott FreeStyle Libre 2 Plus rtCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM,Transcutaneous rtCGM","iLet,Omnipod 5,t:slim X2 with control-IQ,Mobi,Minimed 630G,Minimed 670G,Minimed 770G,Minimed 780G","iLet,Omnipod 5,t:slim X2 with control-IQ,Mobi,Minimed 630G,Minimed 670G,Minimed 770G,Minimed 780G",,,,,,,,,,,,,,,,,Final,,Selected all Minimed AIDs since documentation did not specify. ,6/4/2025 10:44am,,,,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Medtronic Guardian 4 rtCGM",,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM,Medtronic Guardian 4 rtCGM",,,,,,CHIR_IDrecusdGJp8vXTL9qw-316792-CACigna National ,recusdGJp8vXTL9qw
Cigna National Preferred 5-Tier Prescription Drug List (Health Plan),,Formulary Database,Cigna,,Express Scripts by Evernorth,Health Plan,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY",53,"Health Plan: [AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,FN,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY]",Formulary,,https://www.cigna.com/static/www-cigna-com/docs/cigna-national-preferred-prescription-5-tier-abridged.pdf,https://portal.policyreporter.com/policy-updates/316782,316782,https://portal.policyreporter.com/geturlupdate.php?urlid=%1316782&updateid=%24874880,5/1/2025,,,,,,Unspecified,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM","Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous rtCGM,Transcutaneous isCGM,Transcutaneous isCGM",,,"iLet,Minimed 630G,Minimed 670G,Minimed 770G,Minimed 780G,Mobi,Omnipod 5",,,,,,,,,,,,,,,,,,Final,,"Doc is a list of some of the most commonly prescribed medications, not a full list
",6/4/2025 10:44am,,,,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM",,"Dexcom G6 rtCGM,Dexcom G7 rtCGM,Abbott FreeStyle Libre 2 Plus rtCGM,Abbott FreeStyle Libre 3 Plus rtCGM,Abbott FreeStyle Libre 2 isCGM,Abbott FreeStyle Libre 14 isCGM",,,,,,CHIR_IDrecvcjPMepVksvuhe-316782-AKCigna National ,recvcjPMepVksvuhe
