Document Title,uuid_formula,airtable_uuid,duplicate_flagger
Intensive Outpatient Program (IOP) Request,CHIR_IDrecUtBJJcvcEYyb9m-294328-TXIntensive Outpa,recUtBJJcvcEYyb9m,non_duplicate
Verification Of Benefits Processing,CHIR_IDreck1jF9p72CAUfse-294330-TXVerification Of,reck1jF9p72CAUfse,non_duplicate
"Therapeutic, Prophylactic and Diagnostic Injection and Infusion Administration Coding","CHIR_IDrecSAjL5avQHjmcEu-294385-ILTherapeutic, Pr",recSAjL5avQHjmcEu,non_duplicate
Unlisted/Not Otherwise Classified (NOC) Coding,CHIR_IDrecveUuGJGS2l5sQy-294386-ILUnlisted/Not Ot,recveUuGJGS2l5sQy,non_duplicate
Site of Service (Infusion Therapy and Physician-Administered Drugs),CHIR_IDrecbiokHIafH53X8F-295383-AZSite of Service,recbiokHIafH53X8F,non_duplicate
Omnipod 5 (Medical Necessity),CHIR_IDrecB5Q4ToatryfaPI-295838-AKOmnipod 5 (Medi,recB5Q4ToatryfaPI,non_duplicate
Omnipod 5 (Notification),CHIR_IDrecyZh5M2ekBK707o-295839-AKOmnipod 5 (Noti,recyZh5M2ekBK707o,non_duplicate
Modifier Reference,CHIR_IDrecNgVYvkL5bzs1EN-295907-ILModifier Refere,recNgVYvkL5bzs1EN,non_duplicate
New-To-Market Program for Medical Benefit Medications (Commercial),CHIR_IDrecNfmXIyzxZwzKiq-296736-FLNew-To-Market P,recNfmXIyzxZwzKiq,non_duplicate
Mounjaro,CHIR_IDrecjoPDoH9kdXJ2rv-296848-AKMounjaro,recjoPDoH9kdXJ2rv,non_duplicate
Continuous Glucose Monitors,CHIR_IDrecRqRIyrWp0YHWN9-297420-AZContinuous Gluc,recRqRIyrWp0YHWN9,non_duplicate
"Hospital Services: Observation and Inpatient (Commercial, Individual Exchange)",CHIR_IDrectNkjpR2W5XhVt9-298123-AKHospital Servic,rectNkjpR2W5XhVt9,non_duplicate
Designated Medical Specialty Pharmacy Drug List,CHIR_IDreckzX6GMfUNJm7og-298259-AKDesignated Medi,reckzX6GMfUNJm7og,non_duplicate
Preventive Services,CHIR_IDrecTLSrz0DwVqFHI4-29828-FLPreventive Serv,recTLSrz0DwVqFHI4,non_duplicate
Provider-Administered Specialty Medications,CHIR_IDrecFt2aYsq8jpJaJw-298422-FLProvider-Admini,recFt2aYsq8jpJaJw,non_duplicate
Apidra Solostar,CHIR_IDrecnPHPrHBzCn7ZuC-298612-ORApidra Solostar,recnPHPrHBzCn7ZuC,non_duplicate
"Apidra (WA, OR Commercial, Medicare)","CHIR_IDrecLzs64VN09yEYCj-298615-ORApidra (WA, OR ",recLzs64VN09yEYCj,non_duplicate
"Trijardy XR (WA, OR Commercial, Medicare)",CHIR_IDrectGY5vibgYCbyc1-298626-ORTrijardy XR (WA,rectGY5vibgYCbyc1,non_duplicate
"Mounjaro (WA, OR Commercial, Medicare)","CHIR_IDrec7Y4fQsK2S2qCmV-298681-ORMounjaro (WA, O",rec7Y4fQsK2S2qCmV,non_duplicate
Part B Step Therapy Drug List (NY Health Plan),CHIR_IDrec0E1CQQ9ZO26JpN-298714-NYPart B Step The,rec0E1CQQ9ZO26JpN,non_duplicate
Ambulance Transportation (Commercial CA West),CHIR_IDrecrJxgoM8EOJFo5D-299130-CAAmbulance Trans,recrJxgoM8EOJFo5D,non_duplicate
"Ambulance Transportation (Commercial OK, OR, TX, WA West)",CHIR_IDrecFzFPVlrjBJ6QRO-299131-OKAmbulance Trans,recFzFPVlrjBJ6QRO,non_duplicate
"Consultation Services (Commercial, Individual Exchange)",CHIR_IDrecU6lIuNHqx50YLI-299133-AKConsultation Se,recU6lIuNHqx50YLI,non_duplicate
Continuity of Care (Commercial CA West),CHIR_IDrec5aEF3BJ1E81cqb-299135-CAContinuity of C,rec5aEF3BJ1E81cqb,non_duplicate
Immunizations/Vaccinations (Commercial CA West),CHIR_IDrechIBi33O0uVpBDy-299136-CAImmunizations/V,rechIBi33O0uVpBDy,non_duplicate
"Immunizations/Vaccinations (Commercial OK, OR, TX, WA West)",CHIR_IDreckLC5siGQDv04wJ-299137-OKImmunizations/V,reckLC5siGQDv04wJ,non_duplicate
DME Modifiers (Commercial),CHIR_IDrecNjWFoAG2EuLUqE-299474-NYDME Modifiers (,recNjWFoAG2EuLUqE,non_duplicate
Emergency Services: Nonparticipating Providers and Facilities (Medicare),CHIR_IDrecH3YdZeWFdAeWRm-299480-NYEmergency Servi,recH3YdZeWFdAeWRm,non_duplicate
Home Health Care (Commercial CA West),CHIR_IDrec1YEJwVgtZUANz8-300536-CAHome Health Car,rec1YEJwVgtZUANz8,non_duplicate
"Home Health Care (Commercial West TX, OK, OR, WA)",CHIR_IDrecnii5JIYvu7L6NF-300537-OKHome Health Car,recnii5JIYvu7L6NF,non_duplicate
"Hospital Services (Inpatient and Outpatient) (Commercial West OK, OR, TX, WA)",CHIR_IDrec7s7dx4tSPcDcr3-300538-OKHospital Servic,rec7s7dx4tSPcDcr3,non_duplicate
Hospital Services (Inpatient and Outpatient) (Commercial CA West),CHIR_IDrecwwPlDYXYdyXXES-300539-CAHospital Servic,recwwPlDYXYdyXXES,non_duplicate
Preventive care,CHIR_IDrecUcdL3ysKXtdKMf-300544-AZPreventive care,recUcdL3ysKXtdKMf,non_duplicate
Innovation Health Exchange Plan Pharmacy Drug Guide (Health Plan),CHIR_IDrecHko6ZGW6eiN8JH-300601-AKInnovation Heal,recHko6ZGW6eiN8JH,non_duplicate
Aetna Advanced Control Plan Pharmacy Drug Guide (Health Plan),CHIR_IDrecDBS0ZAgvcdJ9Ri-300605-AKAetna Advanced ,recDBS0ZAgvcdJ9Ri,non_duplicate
Aetna Standard Opt Out Plan Pharmacy Drug Guide (Health Plan),CHIR_IDrecpH7DQtagVRUhw4-300608-AKAetna Standard ,recpH7DQtagVRUhw4,non_duplicate
Innovation Health Advanced Control Plan Pharmacy Drug Guide (Health Plan),CHIR_IDrecOWUWJx5ffH4yNI-300609-AKInnovation Heal,recOWUWJx5ffH4yNI,non_duplicate
Innovation Health Standard Opt Out Plan Pharmacy Drug Guide (Health Plan),CHIR_IDrec332gsNO6pxm0mS-300610-AKInnovation Heal,rec332gsNO6pxm0mS,non_duplicate
"Advanced Care at Home (WA Commecial, Medicare)",CHIR_IDrec2YV31O9wRBCI1G-301248-WAAdvanced Care a,rec2YV31O9wRBCI1G,non_duplicate
Surgical Teams (CA Commercial),CHIR_IDrecB23uy2m9bp3O53-301251-CASurgical Teams ,recB23uy2m9bp3O53,non_duplicate
Transitional Care Management (CA Commercial),CHIR_IDrecQ7OyEn5xeHvD3S-301253-CATransitional Ca,recQ7OyEn5xeHvD3S,non_duplicate
New Mexico PPACA $0 Cost-share Contraceptives Pharmacy Benefit (Health Plan),CHIR_IDreclz5pWbTplB1KBh-301606-NMNew Mexico PPAC,reclz5pWbTplB1KBh,non_duplicate
New Mexico Medical Contraceptive Services Cost-share Contraceptives (Health Plan),CHIR_IDrecJuukrk5ryjhwPW-301607-NMNew Mexico Medi,recJuukrk5ryjhwPW,non_duplicate
Dengue Vaccine (Commercial),CHIR_IDrecsCVhRNivjTtOlK-301708-AKDengue Vaccine ,recsCVhRNivjTtOlK,non_duplicate
6-Tier Oscar Individual Plan Formulary (AZ Health Plan),CHIR_IDrecXpk2g3HVChqy0X-301798-AZ6-Tier Oscar In,recXpk2g3HVChqy0X,non_duplicate
Oscar and Cigna Express Scripts High Performance Formulary (AZ Health Plan),CHIR_IDrec8XHi8XHpAmgl09-301799-AZOscar and Cigna,rec8XHi8XHpAmgl09,payer_duplicate
Oscar and Cigna Express Scripts High Performance Formulary (AZ Health Plan),CHIR_IDrecOSvJtFPS7PWjTa-301799-AZOscar and Cigna,recOSvJtFPS7PWjTa,payer_duplicate
Oscar and Cigna Express Scripts High Performance Formulary (CA Health Plan),CHIR_IDrecYMNmvk80tSBU2X-301803-CAOscar and Cigna,recYMNmvk80tSBU2X,payer_duplicate
Oscar and Cigna Express Scripts High Performance Formulary (CA Health Plan),CHIR_IDrec27GrZlCs1r9TUr-301803-CAOscar and Cigna,rec27GrZlCs1r9TUr,payer_duplicate
Oscar and Cigna Express Scripts High Performance Infertility Formulary (CA Health Plan),CHIR_IDrecnk6vLaUbxnSH9t-301804-CAOscar and Cigna,recnk6vLaUbxnSH9t,payer_duplicate
Oscar and Cigna Express Scripts High Performance Infertility Formulary (CA Health Plan),CHIR_IDrecE1A4Ark3UqiArY-301804-CAOscar and Cigna,recE1A4Ark3UqiArY,payer_duplicate
Oscar and Cigna Express Scripts High Performance Formulary (CT Health Plan),CHIR_IDrecavtiNO8tA0sADe-301806-CTOscar and Cigna,recavtiNO8tA0sADe,payer_duplicate
Oscar and Cigna Express Scripts High Performance Formulary (CT Health Plan),CHIR_IDrecvbrum9fu5Wgp9R-301806-CTOscar and Cigna,recvbrum9fu5Wgp9R,payer_duplicate
6-Tier Oscar Individual Plan Formulary (FL Health Plan),CHIR_IDrecGf9SBO2d8vpVMk-301807-FL6-Tier Oscar In,recGf9SBO2d8vpVMk,non_duplicate
6-Tier Oscar Individual Plan Formulary (GA Health Plan),CHIR_IDrec0oFUFrGvZNCAaO-301921-GA6-Tier Oscar In,rec0oFUFrGvZNCAaO,non_duplicate
Oscar and Cigna Express Scripts High Performance Formulary (GA Health Plan),CHIR_IDrecXKPcpVxGYyghZt-301923-GAOscar and Cigna,recXKPcpVxGYyghZt,payer_duplicate
Oscar and Cigna Express Scripts High Performance Formulary (GA Health Plan),CHIR_IDrecElwtCCxD58CRQr-301923-GAOscar and Cigna,recElwtCCxD58CRQr,payer_duplicate
6-Tier Oscar Individual Plan Formulary (IL Health Plan),CHIR_IDrecTxLw8MUX4oaEpU-301924-IL6-Tier Oscar In,recTxLw8MUX4oaEpU,non_duplicate
6-Tier Oscar Individual Plan Formulary (IA Health Plan),CHIR_IDrec2x9yNPgi42U3Kr-301927-IA6-Tier Oscar In,rec2x9yNPgi42U3Kr,non_duplicate
6-Tier Oscar Individual Plan Formulary (KS Health Plan),CHIR_IDrec3Wyv6mfHmcEUzT-301929-KS6-Tier Oscar In,rec3Wyv6mfHmcEUzT,non_duplicate
Oscar and Cigna Express Scripts High Performance Formulary (KS Health Plan),CHIR_IDrecxQnO4owR1lVQM4-301931-KSOscar and Cigna,recxQnO4owR1lVQM4,payer_duplicate
Oscar and Cigna Express Scripts High Performance Formulary (KS Health Plan),CHIR_IDrecjUtVkwdy7Xr3aW-301931-KSOscar and Cigna,recjUtVkwdy7Xr3aW,payer_duplicate
6-Tier Oscar Individual Plan Formulary (MI Health Plan),CHIR_IDrecpYwLjqYlCOprPQ-301932-MI6-Tier Oscar In,recpYwLjqYlCOprPQ,non_duplicate
6-Tier Oscar Individual Plan Formulary (MO Health Plan),CHIR_IDrecbQPM1sHJHkMZmv-301934-MO6-Tier Oscar In,recbQPM1sHJHkMZmv,non_duplicate
Oscar and Cigna Express Scripts High Performance Formulary (MO Health Plan),CHIR_IDrecx8Okyot4wI4XYs-301935-MOOscar and Cigna,recx8Okyot4wI4XYs,payer_duplicate
Oscar and Cigna Express Scripts High Performance Formulary (MO Health Plan),CHIR_IDrecGAHLPDzUGWrJ5l-301935-MOOscar and Cigna,recGAHLPDzUGWrJ5l,payer_duplicate
6-Tier Oscar Individual Plan Formulary (NE Health Plan),CHIR_IDrecFWCUZNM8oSRxf1-301936-NE6-Tier Oscar In,recFWCUZNM8oSRxf1,non_duplicate
Oscar Individual and Small Group Plan Formulary (NJ Health Plan),CHIR_IDrecdmtMY4Mxw3TuOr-301937-NJOscar Individua,recdmtMY4Mxw3TuOr,non_duplicate
"Diabetes (Invokana, Invokamet, Invokamet XR) Dispensing Limit",CHIR_IDrecJyk61MCHVdmVld-301971-AKDiabetes (Invok,recJyk61MCHVdmVld,non_duplicate
Medical Necessity Criteria for Non-Formulary Products,CHIR_IDrecDk3g9N0G1s9RSA-302050-AZMedical Necessi,recDk3g9N0G1s9RSA,non_duplicate
Medical Necessity Prior Authorization Criteria,CHIR_IDreczRWqj7Ed5oOj9g-302051-AZMedical Necessi,reczRWqj7Ed5oOj9g,non_duplicate
Afrezza (Commercial),CHIR_IDrecXvsWjfgIp7AItD-302092-FLAfrezza (Commer,recXvsWjfgIp7AItD,non_duplicate
Glucose Test Strips (Commercial),CHIR_IDrecVqoYYzNPyvDJgo-302122-FLGlucose Test St,recVqoYYzNPyvDJgo,non_duplicate
Korlym (Commercial),CHIR_IDrecs85ukG3FG3brBD-302137-FLKorlym (Commerc,recs85ukG3FG3brBD,non_duplicate
Oscar Business & Individual and Small Group Plan Formulary (NY Health Plan),CHIR_IDrecPyjcLjOYgxZSeI-302181-NYOscar Business ,recPyjcLjOYgxZSeI,non_duplicate
Oscar For Business No Family Planning (NY Health Plan),CHIR_IDrec78JbgzJp7SpZKW-302182-NYOscar For Busin,rec78JbgzJp7SpZKW,non_duplicate
6-Tier Oscar Individual Plan Formulary (NC Health Plan),CHIR_IDrecaH05Js9qNxlBs9-302183-NC6-Tier Oscar In,recaH05Js9qNxlBs9,non_duplicate
6-Tier Oscar Individual Plan Formulary (OK Health Plan),CHIR_IDrecck94yHr9dEyC82-302184-OK6-Tier Oscar In,recck94yHr9dEyC82,non_duplicate
6-Tier Oscar Individual Plan Formulary (PA Health Plan),CHIR_IDrecCkktpNvhru5LJg-302185-PA6-Tier Oscar In,recCkktpNvhru5LJg,non_duplicate
6-Tier Oscar Individual Plan Formulary (TN Health Plan),CHIR_IDrec5NobvDYhZDMrHg-302186-TN6-Tier Oscar In,rec5NobvDYhZDMrHg,non_duplicate
6-Tier Oscar Individual Plan Formulary (TX Health Plan),CHIR_IDrec2OCzHXUx1MNPjR-302187-TX6-Tier Oscar In,rec2OCzHXUx1MNPjR,non_duplicate
6-Tier Oscar Individual Plan Formulary (VA Health Plan),CHIR_IDrech05bMGBDcDAVbV-302188-VA6-Tier Oscar In,rech05bMGBDcDAVbV,non_duplicate
Oscar and Cigna Express Scripts High Performance Formulary (TN Health Plan),CHIR_IDrecV9Iw8f0i9iPXB0-302189-TNOscar and Cigna,recV9Iw8f0i9iPXB0,payer_duplicate
Oscar and Cigna Express Scripts High Performance Formulary (TN Health Plan),CHIR_IDrecorv3DDadaoMI3M-302189-TNOscar and Cigna,recorv3DDadaoMI3M,payer_duplicate
Afrezza (Commercial),CHIR_IDreceo4bVYrgQF3xQS-302196-FLAfrezza (Commer,receo4bVYrgQF3xQS,non_duplicate
Alternate Prior Authorization (PA) (Commercial),CHIR_IDrecCfQIP0hSf05wCj-302198-FLAlternate Prior,recCfQIP0hSf05wCj,non_duplicate
Tzield,CHIR_IDrecqSNtO2P0s5L1Qj-303083-AZTzield,recqSNtO2P0s5L1Qj,non_duplicate
Facility Reimbursement for Clinic Services,CHIR_IDrecfBCGBkSFOmtk51-303203-FLFacility Reimbu,recfBCGBkSFOmtk51,non_duplicate
Hospital Related Services for Outpatient Claims,CHIR_IDrecm7AqO0YAqdssRz-303204-FLHospital Relate,recm7AqO0YAqdssRz,non_duplicate
Telehealth Facility Procedure Code Q3014,CHIR_IDrecCrsZcQ9O3czPef-303205-FLTelehealth Faci,recCrsZcQ9O3czPef,non_duplicate
Therapeutic Behavioral On-Site Services Request Form (Commercial),CHIR_IDrec4wvo2P0fBfPhEV-303229-TXTherapeutic Beh,rec4wvo2P0fBfPhEV,non_duplicate
Remote Therapeutic and Physiologic Monitoring Services,CHIR_IDrec7diyOBYb4yXjAh-303462-CARemote Therapeu,rec7diyOBYb4yXjAh,non_duplicate
"Modifier Policy, Facility (Commercial, Individual Exchange)",CHIR_IDrecixvCWCljkv1EOl-303567-AKModifier Policy,recixvCWCljkv1EOl,non_duplicate
Tzield,CHIR_IDrec5mJqNK9plQY7rA-303645-CATzield,rec5mJqNK9plQY7rA,non_duplicate
Co-Surgeons (Commercial),CHIR_IDrec52O2MQdKmLY2h2-304194-FLCo-Surgeons (Co,rec52O2MQdKmLY2h2,non_duplicate
Evaluation and Management Services by Physicians of the Same Group Practice,CHIR_IDrecXoIkJJ49k7ohuR-304195-FLEvaluation and ,recXoIkJJ49k7ohuR,non_duplicate
Initial Hospital Evaluation and Management,CHIR_IDrec4IBGZBeNMkFTpR-304196-FLInitial Hospita,rec4IBGZBeNMkFTpR,non_duplicate
Multiple Visit Reduction,CHIR_IDrecCKXE8vMjaYiXWh-304197-FLMultiple Visit ,recCKXE8vMjaYiXWh,non_duplicate
Readmissions Review Quality Program,CHIR_IDrecJ4CJTa6pHg29gv-304200-FLReadmissions Re,recJ4CJTa6pHg29gv,non_duplicate
Tzield (Commercial),CHIR_IDrec7h0Dn9PN6gfD9x-304497-ILTzield (Commerc,rec7h0Dn9PN6gfD9x,cross_state_duplicate
Tzield (Commercial),CHIR_IDrecAaMyOVxm5BTZiK-304497-TXTzield (Commerc,recAaMyOVxm5BTZiK,cross_state_duplicate
"Category III Codes (Commercial, Individual Exchange)",CHIR_IDrecQLhHs7ziQD0m2H-304505-AKCategory III Co,recQLhHs7ziQD0m2H,non_duplicate
Emergency and Urgent Services (West CA),CHIR_IDrecRfDPbsWsJFbrb1-304506-CAEmergency and U,recRfDPbsWsJFbrb1,non_duplicate
"Emergency and Urgent Services (West OK, OR, TX, WA)",CHIR_IDrecj9MUVDMGQA3oTp-304507-OKEmergency and U,recj9MUVDMGQA3oTp,non_duplicate
Educational Programs for Members (West CA),CHIR_IDrec4bQ3JMhltgf1xR-304508-CAEducational Pro,rec4bQ3JMhltgf1xR,non_duplicate
"Advanced Practice Health Care Provider Policy, Professional (Commercial, Individual Exchange)",CHIR_IDrecUj2YwFZLQX8FjD-305323-AKAdvanced Practi,recUj2YwFZLQX8FjD,non_duplicate
"Telehealth Policy, Facility (Commercial, Individual Exchange)",CHIR_IDrecTDUVg64i8ZdsPJ-305324-AKTelehealth Poli,recTDUVg64i8ZdsPJ,non_duplicate
Disposable Insulin Pump Devices,CHIR_IDrec9Shr3mryYkDG2h-305424-AZDisposable Insu,rec9Shr3mryYkDG2h,non_duplicate
"Humulin R U-500 Concentrated Kwikpen (OR, WA Commercial)",CHIR_IDrec9T0uKRU4yR4mO3-305541-ORHumulin R U-500,rec9T0uKRU4yR4mO3,non_duplicate
Outpatient Glycated Hemoglobin and Protein Testing,CHIR_IDrecMq8pBHBChuxhvv-305550-CAOutpatient Glyc,recMq8pBHBChuxhvv,non_duplicate
"Omnipod 5 (OR, WA Commercial)","CHIR_IDrecDFrsEYHYfMY7nO-305593-OROmnipod 5 (OR, ",recDFrsEYHYfMY7nO,non_duplicate
Continuous Glucose Monitoring (CGM) (Commercial),CHIR_IDrecTAjPA30Ucfo7va-305864-FLContinuous Gluc,recTAjPA30Ucfo7va,non_duplicate
Insulin Pumps (Commercial),CHIR_IDrecL1NMlfIIpBO1Cb-305868-FLInsulin Pumps (,recL1NMlfIIpBO1Cb,non_duplicate
"Brand Product with Unbranded Biologic (OR, WA Commercial)",CHIR_IDrecKZgbwyVxqG9XH0-305974-ORBrand Product w,recKZgbwyVxqG9XH0,non_duplicate
Diabetes Omnipod,CHIR_IDrec0Repy4gD19vNd9-306110-AKDiabetes Omnipo,rec0Repy4gD19vNd9,non_duplicate
Specialty pharmacy requirements (Commercial),CHIR_IDrec0r30o6QcVeVHQc-306264-AKSpecialty pharm,rec0r30o6QcVeVHQc,non_duplicate
GLP-1 Agonists  (Commercial),CHIR_IDrecsMEle3pI1dR31t-306369-ILGLP-1 Agonists ,recsMEle3pI1dR31t,cross_state_duplicate
GLP-1 Agonists  (Commercial),CHIR_IDrecmlAMjdeoBD2vZa-306369-TXGLP-1 Agonists ,recmlAMjdeoBD2vZa,cross_state_duplicate
Therapeutic Alternatives (Commercial),CHIR_IDrecBxHnYmOwtuWROI-306392-ILTherapeutic Alt,recBxHnYmOwtuWROI,cross_state_duplicate
Therapeutic Alternatives (Commercial),CHIR_IDrecn33LNNn5BuXYKG-306392-TXTherapeutic Alt,recn33LNNn5BuXYKG,cross_state_duplicate
Non-Preferred Brand Alternatives (Commercial),CHIR_IDrecYtMRRp1dilrVVR-306401-ILNon-Preferred B,recYtMRRp1dilrVVR,cross_state_duplicate
Non-Preferred Brand Alternatives (Commercial),CHIR_IDreclKRw98qr9A75oV-306401-TXNon-Preferred B,reclKRw98qr9A75oV,cross_state_duplicate
Long Acting Insulin (Commercial),CHIR_IDrec2U1SXFjhXdlSFT-306402-ILLong Acting Ins,rec2U1SXFjhXdlSFT,cross_state_duplicate
Long Acting Insulin (Commercial),CHIR_IDreczlWb6nen3jjivz-306402-TXLong Acting Ins,reczlWb6nen3jjivz,cross_state_duplicate
GLP-1 Agonists (Commercial),CHIR_IDrecJjbKjpMcO67KZE-306410-ILGLP-1 Agonists ,recJjbKjpMcO67KZE,cross_state_duplicate
GLP-1 Agonists (Commercial),CHIR_IDrecVrffHAq6WmvzHn-306410-TXGLP-1 Agonists ,recVrffHAq6WmvzHn,cross_state_duplicate
Tzield (Commercial),CHIR_IDrecMfHXHFguGKtF0o-306934-AKTzield (Commerc,recMfHXHFguGKtF0o,non_duplicate
Filing Claims - Ancillary Services,CHIR_IDrecPt3r1If00HmqI5-306938-TXFiling Claims -,recPt3r1If00HmqI5,non_duplicate
Tzield (teplizumab-mzwv) (Commercial),CHIR_IDrecx7YNbwkzl2AdMO-307138-AKTzield (teplizu,recx7YNbwkzl2AdMO,non_duplicate
Afrezza (Commercial),CHIR_IDrecFLNHQ7r4618PAl-307140-AKAfrezza (Commer,recFLNHQ7r4618PAl,non_duplicate
Tzield (Teplizumab-Mzwv) (Individual Exchange),CHIR_IDrecnYkkU8z3LecTk9-307156-AZTzield (Teplizu,recnYkkU8z3LecTk9,non_duplicate
Tzield (Commercial),CHIR_IDrecY5AMhh2W923fO7-308538-FLTzield (Commerc,recY5AMhh2W923fO7,non_duplicate
"Hospice (Commercial West OK, OR, TX, WA)",CHIR_IDrecuCi5g04vetaPVe-308693-OKHospice (Commer,recuCi5g04vetaPVe,non_duplicate
Hospice (Commercial CA West),CHIR_IDrecgtVy4w4OrZkVsF-308694-CAHospice (Commer,recgtVy4w4OrZkVsF,non_duplicate
Aetna Better Health Over-the-Counter (OTC) Item Catalog (FL Health Plan),CHIR_IDrecG1yxOBHAl045Bf-309037-FLAetna Better He,recG1yxOBHAl045Bf,non_duplicate
ACA Preventive Care Drug List (CA Health Plan),CHIR_IDreczyDhLejT1b1wJV-309461-CAACA Preventive ,reczyDhLejT1b1wJV,non_duplicate
Oscar and Cigna Express Scripts High Performance Formulary (PA Health Plan),CHIR_IDrecqcwFXQ0JRL9UiJ-309486-PAOscar and Cigna,recqcwFXQ0JRL9UiJ,payer_duplicate
Oscar and Cigna Express Scripts High Performance Formulary (PA Health Plan),CHIR_IDrecIYkYuDLeGH0CYF-309486-PAOscar and Cigna,recIYkYuDLeGH0CYF,payer_duplicate
Tzield (Commercial),CHIR_IDrecMMln9Mf3A9jVxY-309602-AKTzield (Commerc,recMMln9Mf3A9jVxY,non_duplicate
NetResults-A Value-Based Design Drug List (FL Health Plan),CHIR_IDrecjvUai8BIApKfCc-309611-AKNetResults-A Va,recjvUai8BIApKfCc,non_duplicate
Care Choices for Simple Choices Medication Guide (FL Health Plan),CHIR_IDrecmxsU5Z2OoJa5wx-309612-AKCare Choices fo,recmxsU5Z2OoJa5wx,non_duplicate
"Remote Patient Monitoring (RPM) and Remote Therapeutic Monitoring (RTM) (Commercial, Medicare)",CHIR_IDrectDvDFqE7xEgcTC-310044-AKRemote Patient ,rectDvDFqE7xEgcTC,non_duplicate
Marketplace Standard Plans Drug Formulary (HI Health Plan),CHIR_IDrechtfba9ekxjPQ5W-310308-HIMarketplace Sta,rechtfba9ekxjPQ5W,true_duplicate
Marketplace Standard Plans Drug Formulary (HI Health Plan),CHIR_IDrec6qw4IBGDdxUkhN-310308-HIMarketplace Sta,rec6qw4IBGDdxUkhN,true_duplicate
Marketplace Standard Plans Drug Formulary (HI Health Plan),CHIR_IDrec9JfFUDsLCCCVSk-310308-HIMarketplace Sta,rec9JfFUDsLCCCVSk,true_duplicate
"Northwest Self-Funded Formulary (OR, WA Health Plan)",CHIR_IDrecL9r5ATpLaWSLrF-310310-ORNorthwest Self-,recL9r5ATpLaWSLrF,true_duplicate
"Northwest Self-Funded Formulary (OR, WA Health Plan)",CHIR_IDrecUBae7CizF79ydZ-310310-ORNorthwest Self-,recUBae7CizF79ydZ,true_duplicate
"Northwest Self-Funded Formulary (OR, WA Health Plan)",CHIR_IDrecW5xr1IAe9kwZcA-310310-ORNorthwest Self-,recW5xr1IAe9kwZcA,true_duplicate
Innovation Health Standard Plan Pharmacy Drug Guide (Health Plan),CHIR_IDrec7Lt5WEYdrxgA8Y-310574-AKInnovation Heal,rec7Lt5WEYdrxgA8Y,non_duplicate
Innovation Health Standard Opt Out Plan with ACSF Pharmacy Drug Guide (Health Plan),CHIR_IDrec6d3N09C8zha8jy-310578-AKInnovation Heal,rec6d3N09C8zha8jy,non_duplicate
Claim Submission â€“ Required Information for Facilities (UB-04) (EBCBS Medicare),CHIR_IDrecfdWpn2MGyZyyXM-310592-NYClaim Submissio,recfdWpn2MGyZyyXM,non_duplicate
Claim Submission â€“ Required Information Professional (CMS 1500) - (EBCBS Medicare),CHIR_IDrecxaXeER37jBv3Kj-310594-NYClaim Submissio,recxaXeER37jBv3Kj,non_duplicate
Claims Requiring Additional Documentation (Medicare),CHIR_IDrecdiriBTl9pI8xPa-310595-NYClaims Requirin,recdiriBTl9pI8xPa,non_duplicate
Claims Requiring Additional Documentation (Commercial),CHIR_IDrecvzVYHeXUWAJezV-310596-NYClaims Requirin,recvzVYHeXUWAJezV,non_duplicate
Claims Timely Filing (Medicare),CHIR_IDrec2LKrJba7rJrYbR-310598-NYClaims Timely F,rec2LKrJba7rJrYbR,non_duplicate
Code and Clinical Editing Guidelines (Commercial),CHIR_IDrec2iBqdJaCymzPo1-310600-NYCode and Clinic,rec2iBqdJaCymzPo1,non_duplicate
Code and Clinical Editing Guidelines (Medicare),CHIR_IDreckjTEu1OPr7mRHo-310601-NYCode and Clinic,reckjTEu1OPr7mRHo,non_duplicate
Consultations (Commercial),CHIR_IDrecD95vUtwtSskbj0-310602-NYConsultations (,recD95vUtwtSskbj0,non_duplicate
Diagnoses Used in DRG Computation (Medicare),CHIR_IDrecUnRgu3yJXohJ1g-310605-NYDiagnoses Used ,recUnRgu3yJXohJ1g,non_duplicate
Distinct Procedural Services (Modifiers 59 XE  XP  XS  XU) (EBCBS Medicare),CHIR_IDreckMYOJ4Sn2F3nr2-310607-NYDistinct Proced,reckMYOJ4Sn2F3nr2,non_duplicate
"Distinct Procedural Services, Modifiers 59 XE XP XS XU (Commercial)",CHIR_IDrecdGAO7dit6q1cxo-310609-NYDistinct Proced,recdGAO7dit6q1cxo,non_duplicate
DME Rent to Purchase (Commercial),CHIR_IDrecl27xQCTc1mvUKT-310613-NYDME Rent to Pur,recl27xQCTc1mvUKT,non_duplicate
Documentation Standards For Episodes Of Care (Commercial),CHIR_IDrecsE56LWCcOwMjgg-310624-NYDocumentation S,recsE56LWCcOwMjgg,non_duplicate
Emergency Department: Leveling of Evaluation and Management Services (Commercial),CHIR_IDreckmGgEhhFdk2d3h-310642-NYEmergency Depar,reckmGgEhhFdk2d3h,non_duplicate
Emergency Room Transfers (Commercial),CHIR_IDrecUT8knosx7MRO4M-310643-NYEmergency Room ,recUT8knosx7MRO4M,non_duplicate
TZield,CHIR_IDrecXX6DRmrNEWXbYU-310676-AKTZield,recXX6DRmrNEWXbYU,non_duplicate
General Medication Prior Authorization Form (AZ),CHIR_IDrecbXqP5ZgL0JGeSj-310742-AZGeneral Medicat,recbXqP5ZgL0JGeSj,non_duplicate
