Document Title,Policy subpart,uuid_formula,airtable_uuid,Implanted_Type,CGM_count
$0 Cost-share Services - Products and Drugs for Women (CA Health Plan),,CHIR_IDrecnewIMajowXUSGQ-289029-CA$0 Cost-share S,recnewIMajowXUSGQ,no devices,0
"$0 Cost-share Services - Products and Drugs for Women (CT, DC, DE, IL, MA, MD, OR, WA Health Plan)",,CHIR_IDrec4ubu0KTd6mT3RL-289030-CT$0 Cost-share S,rec4ubu0KTd6mT3RL,no devices,0
Core Plus Preventive Drug List (Health Plan),,CHIR_IDrecrXDC46nQMGOeCw-289031-AKCore Plus Preve,recrXDC46nQMGOeCw,non-implanted only,1
Expanded Preventive Drug List (Health Plan),,CHIR_IDrecrt1rXL8Jx0ZMsr-289032-AKExpanded Preven,recrt1rXL8Jx0ZMsr,non-implanted only,1
Federal Guided Preventive Drug List (Health Plan),,CHIR_IDrec5woywck7ekxIed-289033-AKFederal Guided ,rec5woywck7ekxIed,non-implanted only,1
Universal Preventive Drug List (Health Plan),,CHIR_IDrecavrimZoJcYVckV-289034-AKUniversal Preve,recavrimZoJcYVckV,no devices,0
Pediatric Congenital Heart Surgery Facilities (Commercial),,CHIR_IDrecwSJEhkj8YrQLyQ-289097-AKPediatric Conge,recwSJEhkj8YrQLyQ,no devices,0
Transplant Facilities (Commercial),,CHIR_IDrecOSEj5co2N72HjR-289098-AKTransplant Faci,recOSEj5co2N72HjR,no devices,0
"Aetna Institutes Gene-Based, Cellular and Other Innovative Therapies (GCIT) Network",,CHIR_IDrecgEHzHJ1ARPtUYf-289101-AKAetna Institute,recgEHzHJ1ARPtUYf,no devices,0
National Drug List 3-Tier (Commercial),,CHIR_IDrec96rkbCniGYOsad-289370-AKNational Drug L,rec96rkbCniGYOsad,both implanted and non-implanted,10
Continuing Care with Terminated Providers for Existing Enrollees,,CHIR_IDreciSTFbwVorXu1KZ-289682-WAContinuing Care,reciSTFbwVorXu1KZ,no devices,0
National Direct Drug List Medication Alternatives,,CHIR_IDrecDVQ8DVtc8CNQlN-290068-AKNational Direct,recDVQ8DVtc8CNQlN,non-implanted only,2
National Direct Drug List Medication Alternatives (VA),,CHIR_IDrecnYwLNBhldTco7v-290070-AKNational Direct,recnYwLNBhldTco7v,non-implanted only,2
Anthem National Drug List Closed Formulary (VA),,CHIR_IDrecn9eIEB50Qb1SWJ-290074-AKAnthem National,recn9eIEB50Qb1SWJ,non-implanted only,5
Select Drug List 4-Tier (Small Group) (CO),,CHIR_IDrec89lG8bem0hPar8-290078-COSelect Drug Lis,rec89lG8bem0hPar8,non-implanted only,3
Select Drug List 4-Tier (Small Group) (CT),,CHIR_IDrecoABg9LAcdgHkWs-290079-CTSelect Drug Lis,recoABg9LAcdgHkWs,non-implanted only,5
"Flexible Choice, 2TPOS OON Tier and Out-of-Area PPO Formulary (Health Plan) (D.C., MD, VA)",,CHIR_IDrec225WSeEtphcJQk-290091-DCFlexible Choice,rec225WSeEtphcJQk,non-implanted only,1
"Flexible Choice, 2TPOS OON Tier and Out-of-Area PPO Formulary (Health Plan) (D.C., MD, VA)",,CHIR_IDrecXf4SKv24H5unnJ-290091-DCFlexible Choice,recXf4SKv24H5unnJ,non-implanted only,1
"Flexible Choice, 2TPOS OON Tier and Out-of-Area PPO Formulary (Health Plan) (D.C., MD, VA)",,CHIR_IDrechg1xW0HZUI3Oxw-290091-DCFlexible Choice,rechg1xW0HZUI3Oxw,non-implanted only,1
Select Drug List 4-Tier Split (Small Group) (CT),,CHIR_IDrecbfwfdwqYaI0FpD-290095-CTSelect Drug Lis,recbfwfdwqYaI0FpD,non-implanted only,5
"Advanced Control Plan and Aetna Federal Employees Formulary Exclusions Drug List (Health Plan, Federal Employer)",,CHIR_IDrecwCLGDesRaFkwcr-290099-AKAdvanced Contro,recwCLGDesRaFkwcr,non-implanted only,2
Multi-Tier Basic Annual Drug List (IL Health Plan),,CHIR_IDrecY1yMDuvfCTMIEL-290123-AKMulti-Tier Basi,recY1yMDuvfCTMIEL,non-implanted only,2
Enhanced Annual Drug List (IL Health Plan),,CHIR_IDrecvmwAISDn0AGfiT-290124-AKEnhanced Annual,recvmwAISDn0AGfiT,non-implanted only,2
Multi-Tier Enhanced Annual Drug List (IL Health Plan),,CHIR_IDrecNPIWUxOwYoZ7k4-290125-AKMulti-Tier Enha,recNPIWUxOwYoZ7k4,non-implanted only,2
Health Insurance Marketplace 6-Tier In-Vitro Fertilization (IVF) Drug List (Health Plan),,CHIR_IDrecqe6xykF8rzBzmx-290128-AKHealth Insuranc,recqe6xykF8rzBzmx,non-implanted only,2
Fully-Insured Traditional Open 3-Tier Drug List Without Contraceptives (NY),,CHIR_IDrec3uBgqqUpg1CjX7-290137-NYFully-Insured T,rec3uBgqqUpg1CjX7,both implanted and non-implanted,11
Traditional Open 3-Tier Drug List Without Contraceptives (NY),,CHIR_IDrecAbEJr9NWSO4kNF-290138-NYTraditional Ope,recAbEJr9NWSO4kNF,both implanted and non-implanted,11
Aetna Small Group Health Exchange Plan Formulary (CA Health Plan),,CHIR_IDrecvwjFJnNOIZ1OcK-290154-CAAetna Small Gro,recvwjFJnNOIZ1OcK,non-implanted only,2
Aetna Health Exchange Plan Formulary (FL Health Plan),,CHIR_IDrec0UtvZv6PdiTdId-290156-FLAetna Health Ex,rec0UtvZv6PdiTdId,non-implanted only,2
Aetna Health Exchange Plan Formulary (NY Health Plan),,CHIR_IDrec03bWkxiGc608j0-290157-NYAetna Health Ex,rec03bWkxiGc608j0,non-implanted only,2
Enhanced Annual Dispensing Limits (Health Plan),,CHIR_IDrecdNkafG0cgJbNeF-290158-AKEnhanced Annual,recdNkafG0cgJbNeF,both implanted and non-implanted,10
Advanced Control (Aetna) Preventive Drug List (Health Plan),,CHIR_IDrec52ER4EiztMusFT-290161-AKAdvanced Contro,rec52ER4EiztMusFT,non-implanted only,2
New Jersey Educators Health Plan Formulary (Health Plan),,CHIR_IDrec9ghBDY96gYPxhh-290179-NJNew Jersey Educ,rec9ghBDY96gYPxhh,non-implanted only,2
Kaiser Permanente Georgia Choice Benefit Formulary (PPO),,CHIR_IDrec0MsUUM3Nuw9uBN-290245-GAKaiser Permanen,rec0MsUUM3Nuw9uBN,no devices,0
Kaiser Permanente Georgia Choice Benefit Formulary (PPO),,CHIR_IDrechMXDLcNJUJcsLS-290245-GAKaiser Permanen,rechMXDLcNJUJcsLS,no devices,0
Kaiser Permanente Georgia Choice Benefit Formulary (PPO),,CHIR_IDrecq5X0f1wBwBOCb1-290245-GAKaiser Permanen,recq5X0f1wBwBOCb1,no devices,0
Cigna Plus 5-Tier Prescription Drug List (GA Health Plan),,CHIR_IDrecHyYRqsK42c4Ufu-290261-GACigna Plus 5-Ti,recHyYRqsK42c4Ufu,non-implanted only,4
Cigna Plus 5-Tier Prescription Drug List (MS Health Plan),,CHIR_IDrec6K8dDay3YQXC4r-290262-MSCigna Plus 5-Ti,rec6K8dDay3YQXC4r,non-implanted only,4
PPACA No Cost Share ($0) Preventive Medication List (Health Plan),,CHIR_IDrecUjDtGwokkES3yF-290282-AKPPACA No Cost S,recUjDtGwokkES3yF,no devices,0
Optional Categories Preventive Medication Program List (Health Plan),,CHIR_IDrecLbMlzdbdDeUk4C-290283-AKOptional Catego,recLbMlzdbdDeUk4C,no devices,0
Legacy Diabetic Supply Preventive Medication List (Health Plan),,CHIR_IDrec9lezhyppiduMS8-290284-AKLegacy Diabetic,rec9lezhyppiduMS8,non-implanted only,6
Diabetic Supply Preventive Medication List (Health Plan),,CHIR_IDrecosNKYgvw2d5kPT-290285-AKDiabetic Supply,recosNKYgvw2d5kPT,non-implanted only,6
Prescription Digital Therapeutics (Commercial),,CHIR_IDrecbyQZUIAbktGzIQ-290508-AKPrescription Di,recbyQZUIAbktGzIQ,no devices,0
Skilled Home Private Duty Nursing Care,,CHIR_IDrecCdBQVvkv1c79Ag-290690-AKSkilled Home Pr,recCdBQVvkv1c79Ag,no devices,0
Medical Product Drug List (NM Health Plan),,CHIR_IDrecpwGatWxxszGxso-290695-NMMedical Product,recpwGatWxxszGxso,no devices,0
"Initial Hospital E&M Upcoding (WA Commercial, Medicare)",,CHIR_IDrecQDsYSknjWoU28m-290911-WAInitial Hospita,recQDsYSknjWoU28m,no devices,0
"Admelog Pen (WA, OR Commercial)",,CHIR_IDrec9aUVWBozN6ZXNn-290929-ORAdmelog Pen (WA,rec9aUVWBozN6ZXNn,no devices,0
"Admelog Vial (WA, OR Commercial)",,CHIR_IDrecdWssTa0FSxtehR-290931-ORAdmelog Vial (W,recdWssTa0FSxtehR,no devices,0
"Saxenda (WA, OR Commercial)",,"CHIR_IDrecE1fOpGSoMJq78v-290934-ORSaxenda (WA, OR",recE1fOpGSoMJq78v,no devices,0
"Facility Services, Supplies and Equipment",,CHIR_IDrecD9Y8wOpjEgmMbR-291250-AKFacility Servic,recD9Y8wOpjEgmMbR,no devices,0
Preferred Physician-Administered Specialty Drugs,,CHIR_IDrecnpZYMb9BtPRP5G-291339-AZPreferred Physi,recnpZYMb9BtPRP5G,no devices,0
Experimental or Investigational Services,,CHIR_IDrech64uVOyH07ujyD-291340-AZExperimental or,rech64uVOyH07ujyD,no devices,0
Evernorth Behavioral Health (WV Commercial),,CHIR_IDrec7d72n4NkilbB4y-291706-WVEvernorth Behav,rec7d72n4NkilbB4y,no devices,0
General Intake,,CHIR_IDrec9IjK1vWqEtLaFQ-291749-AKGeneral Intake,rec9IjK1vWqEtLaFQ,no devices,0
Bariatric Surgery Facilities (Commercial),,CHIR_IDrecRo5iyWFmXq3Pon-291825-AKBariatric Surge,recRo5iyWFmXq3Pon,no devices,0
Specialty Medication,,CHIR_IDrecFN5Udl7ihPMdPi-292280-AKSpecialty Medic,recFN5Udl7ihPMdPi,no devices,0
Long Term Acute Care Hospital,,CHIR_IDrecUK1KQCIZfPlwag-292711-AZLong Term Acute,recUK1KQCIZfPlwag,no devices,0
Continuous Glucose Monitoring Devices and External Insulin Infusion Pumps,checked,CHIR_IDrecFSsMsptgBk6J8e-292887-CAContinuous Gluc,recFSsMsptgBk6J8e,non-implanted only,2
Continuous Glucose Monitoring Devices and External Insulin Infusion Pumps IMPLANTED,checked,CHIR_IDrec6x0AYXxMRuo1SR-292887-CAContinuous Gluc,rec6x0AYXxMRuo1SR,implanted only,1
Level Funded Premium Standard Formulary PPO (GA),,CHIR_IDrec3Z2Rb2psaOtID7-293051-GALevel Funded Pr,rec3Z2Rb2psaOtID7,non-implanted only,4
Level Funded Premium Standard Formulary PPO (GA),,CHIR_IDrec7DFTdqK9MApO8v-293051-GALevel Funded Pr,rec7DFTdqK9MApO8v,non-implanted only,4
Level Funded Premium Standard Formulary PPO (GA),,CHIR_IDrecc9QwcLaj7etIWv-293051-GALevel Funded Pr,recc9QwcLaj7etIWv,non-implanted only,4
Prior Authorization Requirements (Individual Exchange),,CHIR_IDrec2HoLhEtbBwiFzz-293063-ALPrior Authoriza,rec2HoLhEtbBwiFzz,no devices,0
"Educational Programs (West OR, OK, TX, and WA)",,CHIR_IDrecZ3OCtynoqSYNWN-293495-OKEducational Pro,recZ3OCtynoqSYNWN,non-implanted only,1
Authorized Representative Request (Commercial),,CHIR_IDrecMOwGCsdAGEq2q7-293818-AKAuthorized Repr,recMOwGCsdAGEq2q7,no devices,0
Orthopedic Care Facilities (Commercial),,CHIR_IDrecTJTvOmWWu7cvCs-293927-AKOrthopedic Care,recTJTvOmWWu7cvCs,no devices,0
Global Prior Authorization (CA only),,CHIR_IDrecp2lmkWnj5uPUEv-293928-CAGlobal Prior Au,recp2lmkWnj5uPUEv,no devices,0
Continuous Glucose Monitor (Commercial),,CHIR_IDrecSVuC0V4KfmajWv-294293-TXContinuous Gluc,recSVuC0V4KfmajWv,no devices,0
Site of Service (Infusion Therapy and Physician-Administered Drugs),,CHIR_IDrecbiokHIafH53X8F-295383-AZSite of Service,recbiokHIafH53X8F,no devices,0
Mounjaro,,CHIR_IDrecjoPDoH9kdXJ2rv-296848-AKMounjaro,recjoPDoH9kdXJ2rv,no devices,0
Continuous Glucose Monitors,,CHIR_IDrecRqRIyrWp0YHWN9-297420-AZContinuous Gluc,recRqRIyrWp0YHWN9,both implanted and non-implanted,9
"Hospital Services: Observation and Inpatient (Commercial, Individual Exchange)",,CHIR_IDrectNkjpR2W5XhVt9-298123-AKHospital Servic,rectNkjpR2W5XhVt9,no devices,0
Apidra Solostar,,CHIR_IDrecnPHPrHBzCn7ZuC-298612-ORApidra Solostar,recnPHPrHBzCn7ZuC,no devices,0
"Apidra (WA, OR Commercial, Medicare)",,"CHIR_IDrecLzs64VN09yEYCj-298615-ORApidra (WA, OR ",recLzs64VN09yEYCj,no devices,0
"Trijardy XR (WA, OR Commercial, Medicare)",,CHIR_IDrectGY5vibgYCbyc1-298626-ORTrijardy XR (WA,rectGY5vibgYCbyc1,no devices,0
"Mounjaro (WA, OR Commercial, Medicare)",,"CHIR_IDrec7Y4fQsK2S2qCmV-298681-ORMounjaro (WA, O",rec7Y4fQsK2S2qCmV,no devices,0
"Consultation Services (Commercial, Individual Exchange)",,CHIR_IDrecU6lIuNHqx50YLI-299133-AKConsultation Se,recU6lIuNHqx50YLI,no devices,0
Continuity of Care (Commercial CA West),,CHIR_IDrec5aEF3BJ1E81cqb-299135-CAContinuity of C,rec5aEF3BJ1E81cqb,no devices,0
"Hospital Services (Inpatient and Outpatient) (Commercial West OK, OR, TX, WA)",,CHIR_IDrec7s7dx4tSPcDcr3-300538-OKHospital Servic,rec7s7dx4tSPcDcr3,no devices,0
Hospital Services (Inpatient and Outpatient) (Commercial CA West),,CHIR_IDrecwwPlDYXYdyXXES-300539-CAHospital Servic,recwwPlDYXYdyXXES,no devices,0
Preventive care,,CHIR_IDrecUcdL3ysKXtdKMf-300544-AZPreventive care,recUcdL3ysKXtdKMf,no devices,0
Innovation Health Exchange Plan Pharmacy Drug Guide (Health Plan),,CHIR_IDrecHko6ZGW6eiN8JH-300601-AKInnovation Heal,recHko6ZGW6eiN8JH,non-implanted only,2
Aetna Advanced Control Plan Pharmacy Drug Guide (Health Plan),,CHIR_IDrecDBS0ZAgvcdJ9Ri-300605-AKAetna Advanced ,recDBS0ZAgvcdJ9Ri,both implanted and non-implanted,9
Aetna Standard Opt Out Plan Pharmacy Drug Guide (Health Plan),,CHIR_IDrecpH7DQtagVRUhw4-300608-AKAetna Standard ,recpH7DQtagVRUhw4,both implanted and non-implanted,7
Innovation Health Advanced Control Plan Pharmacy Drug Guide (Health Plan),,CHIR_IDrecOWUWJx5ffH4yNI-300609-AKInnovation Heal,recOWUWJx5ffH4yNI,both implanted and non-implanted,9
Innovation Health Standard Opt Out Plan Pharmacy Drug Guide (Health Plan),,CHIR_IDrec332gsNO6pxm0mS-300610-AKInnovation Heal,rec332gsNO6pxm0mS,non-implanted only,6
"Advanced Care at Home (WA Commecial, Medicare)",,CHIR_IDrec2YV31O9wRBCI1G-301248-WAAdvanced Care a,rec2YV31O9wRBCI1G,no devices,0
New Mexico PPACA $0 Cost-share Contraceptives Pharmacy Benefit (Health Plan),,CHIR_IDreclz5pWbTplB1KBh-301606-NMNew Mexico PPAC,reclz5pWbTplB1KBh,no devices,0
New Mexico Medical Contraceptive Services Cost-share Contraceptives (Health Plan),,CHIR_IDrecJuukrk5ryjhwPW-301607-NMNew Mexico Medi,recJuukrk5ryjhwPW,no devices,0
Dengue Vaccine (Commercial),,CHIR_IDrecsCVhRNivjTtOlK-301708-AKDengue Vaccine ,recsCVhRNivjTtOlK,no devices,0
6-Tier Oscar Individual Plan Formulary (AZ Health Plan),,CHIR_IDrecXpk2g3HVChqy0X-301798-AZ6-Tier Oscar In,recXpk2g3HVChqy0X,non-implanted only,2
Oscar and Cigna Express Scripts High Performance Formulary (AZ Health Plan),,CHIR_IDrec8XHi8XHpAmgl09-301799-AZOscar and Cigna,rec8XHi8XHpAmgl09,non-implanted only,6
Oscar and Cigna Express Scripts High Performance Formulary (AZ Health Plan),,CHIR_IDrecOSvJtFPS7PWjTa-301799-AZOscar and Cigna,recOSvJtFPS7PWjTa,non-implanted only,6
Oscar and Cigna Express Scripts High Performance Formulary (CA Health Plan),,CHIR_IDrecYMNmvk80tSBU2X-301803-CAOscar and Cigna,recYMNmvk80tSBU2X,non-implanted only,6
Oscar and Cigna Express Scripts High Performance Formulary (CA Health Plan),,CHIR_IDrec27GrZlCs1r9TUr-301803-CAOscar and Cigna,rec27GrZlCs1r9TUr,non-implanted only,6
Oscar and Cigna Express Scripts High Performance Infertility Formulary (CA Health Plan),,CHIR_IDrecnk6vLaUbxnSH9t-301804-CAOscar and Cigna,recnk6vLaUbxnSH9t,no devices,0
Oscar and Cigna Express Scripts High Performance Infertility Formulary (CA Health Plan),,CHIR_IDrecE1A4Ark3UqiArY-301804-CAOscar and Cigna,recE1A4Ark3UqiArY,non-implanted only,6
Oscar and Cigna Express Scripts High Performance Formulary (CT Health Plan),,CHIR_IDrecavtiNO8tA0sADe-301806-CTOscar and Cigna,recavtiNO8tA0sADe,non-implanted only,6
Oscar and Cigna Express Scripts High Performance Formulary (CT Health Plan),,CHIR_IDrecvbrum9fu5Wgp9R-301806-CTOscar and Cigna,recvbrum9fu5Wgp9R,non-implanted only,6
6-Tier Oscar Individual Plan Formulary (FL Health Plan),,CHIR_IDrecGf9SBO2d8vpVMk-301807-FL6-Tier Oscar In,recGf9SBO2d8vpVMk,non-implanted only,2
6-Tier Oscar Individual Plan Formulary (GA Health Plan),,CHIR_IDrec0oFUFrGvZNCAaO-301921-GA6-Tier Oscar In,rec0oFUFrGvZNCAaO,non-implanted only,2
Oscar and Cigna Express Scripts High Performance Formulary (GA Health Plan),,CHIR_IDrecXKPcpVxGYyghZt-301923-GAOscar and Cigna,recXKPcpVxGYyghZt,non-implanted only,6
Oscar and Cigna Express Scripts High Performance Formulary (GA Health Plan),,CHIR_IDrecElwtCCxD58CRQr-301923-GAOscar and Cigna,recElwtCCxD58CRQr,non-implanted only,6
6-Tier Oscar Individual Plan Formulary (IL Health Plan),,CHIR_IDrecTxLw8MUX4oaEpU-301924-IL6-Tier Oscar In,recTxLw8MUX4oaEpU,non-implanted only,2
6-Tier Oscar Individual Plan Formulary (IA Health Plan),,CHIR_IDrec2x9yNPgi42U3Kr-301927-IA6-Tier Oscar In,rec2x9yNPgi42U3Kr,non-implanted only,2
6-Tier Oscar Individual Plan Formulary (KS Health Plan),,CHIR_IDrec3Wyv6mfHmcEUzT-301929-KS6-Tier Oscar In,rec3Wyv6mfHmcEUzT,non-implanted only,2
Oscar and Cigna Express Scripts High Performance Formulary (KS Health Plan),,CHIR_IDrecxQnO4owR1lVQM4-301931-KSOscar and Cigna,recxQnO4owR1lVQM4,non-implanted only,6
Oscar and Cigna Express Scripts High Performance Formulary (KS Health Plan),,CHIR_IDrecjUtVkwdy7Xr3aW-301931-KSOscar and Cigna,recjUtVkwdy7Xr3aW,non-implanted only,6
6-Tier Oscar Individual Plan Formulary (MI Health Plan),,CHIR_IDrecpYwLjqYlCOprPQ-301932-MI6-Tier Oscar In,recpYwLjqYlCOprPQ,non-implanted only,2
6-Tier Oscar Individual Plan Formulary (MO Health Plan),,CHIR_IDrecbQPM1sHJHkMZmv-301934-MO6-Tier Oscar In,recbQPM1sHJHkMZmv,non-implanted only,2
Oscar and Cigna Express Scripts High Performance Formulary (MO Health Plan),,CHIR_IDrecx8Okyot4wI4XYs-301935-MOOscar and Cigna,recx8Okyot4wI4XYs,non-implanted only,6
Oscar and Cigna Express Scripts High Performance Formulary (MO Health Plan),,CHIR_IDrecGAHLPDzUGWrJ5l-301935-MOOscar and Cigna,recGAHLPDzUGWrJ5l,non-implanted only,6
6-Tier Oscar Individual Plan Formulary (NE Health Plan),,CHIR_IDrecFWCUZNM8oSRxf1-301936-NE6-Tier Oscar In,recFWCUZNM8oSRxf1,non-implanted only,2
Oscar Individual and Small Group Plan Formulary (NJ Health Plan),,CHIR_IDrecdmtMY4Mxw3TuOr-301937-NJOscar Individua,recdmtMY4Mxw3TuOr,non-implanted only,2
"Diabetes (Invokana, Invokamet, Invokamet XR) Dispensing Limit",,CHIR_IDrecJyk61MCHVdmVld-301971-AKDiabetes (Invok,recJyk61MCHVdmVld,no devices,0
Medical Necessity Criteria for Non-Formulary Products,,CHIR_IDrecDk3g9N0G1s9RSA-302050-AZMedical Necessi,recDk3g9N0G1s9RSA,no devices,0
Medical Necessity Prior Authorization Criteria,,CHIR_IDreczRWqj7Ed5oOj9g-302051-AZMedical Necessi,reczRWqj7Ed5oOj9g,no devices,0
Oscar Business & Individual and Small Group Plan Formulary (NY Health Plan),,CHIR_IDrecPyjcLjOYgxZSeI-302181-NYOscar Business ,recPyjcLjOYgxZSeI,non-implanted only,2
Oscar For Business No Family Planning (NY Health Plan),,CHIR_IDrec78JbgzJp7SpZKW-302182-NYOscar For Busin,rec78JbgzJp7SpZKW,non-implanted only,2
6-Tier Oscar Individual Plan Formulary (NC Health Plan),,CHIR_IDrecaH05Js9qNxlBs9-302183-NC6-Tier Oscar In,recaH05Js9qNxlBs9,non-implanted only,2
6-Tier Oscar Individual Plan Formulary (OK Health Plan),,CHIR_IDrecck94yHr9dEyC82-302184-OK6-Tier Oscar In,recck94yHr9dEyC82,non-implanted only,2
6-Tier Oscar Individual Plan Formulary (PA Health Plan),,CHIR_IDrecCkktpNvhru5LJg-302185-PA6-Tier Oscar In,recCkktpNvhru5LJg,non-implanted only,2
6-Tier Oscar Individual Plan Formulary (TN Health Plan),,CHIR_IDrec5NobvDYhZDMrHg-302186-TN6-Tier Oscar In,rec5NobvDYhZDMrHg,non-implanted only,2
6-Tier Oscar Individual Plan Formulary (TX Health Plan),,CHIR_IDrec2OCzHXUx1MNPjR-302187-TX6-Tier Oscar In,rec2OCzHXUx1MNPjR,non-implanted only,2
6-Tier Oscar Individual Plan Formulary (VA Health Plan),,CHIR_IDrech05bMGBDcDAVbV-302188-VA6-Tier Oscar In,rech05bMGBDcDAVbV,non-implanted only,2
Oscar and Cigna Express Scripts High Performance Formulary (TN Health Plan),,CHIR_IDrecV9Iw8f0i9iPXB0-302189-TNOscar and Cigna,recV9Iw8f0i9iPXB0,non-implanted only,6
Oscar and Cigna Express Scripts High Performance Formulary (TN Health Plan),,CHIR_IDrecorv3DDadaoMI3M-302189-TNOscar and Cigna,recorv3DDadaoMI3M,non-implanted only,6
Tzield,,CHIR_IDrecqSNtO2P0s5L1Qj-303083-AZTzield,recqSNtO2P0s5L1Qj,no devices,0
Remote Therapeutic and Physiologic Monitoring Services,,CHIR_IDrec7diyOBYb4yXjAh-303462-CARemote Therapeu,rec7diyOBYb4yXjAh,no devices,0
"Category III Codes (Commercial, Individual Exchange)",,CHIR_IDrecQLhHs7ziQD0m2H-304505-AKCategory III Co,recQLhHs7ziQD0m2H,no devices,0
Emergency and Urgent Services (West CA),,CHIR_IDrecRfDPbsWsJFbrb1-304506-CAEmergency and U,recRfDPbsWsJFbrb1,no devices,0
Educational Programs for Members (West CA),,CHIR_IDrec4bQ3JMhltgf1xR-304508-CAEducational Pro,rec4bQ3JMhltgf1xR,no devices,0
Disposable Insulin Pump Devices,,CHIR_IDrec9Shr3mryYkDG2h-305424-AZDisposable Insu,rec9Shr3mryYkDG2h,no devices,0
"Humulin R U-500 Concentrated Kwikpen (OR, WA Commercial)",,CHIR_IDrec9T0uKRU4yR4mO3-305541-ORHumulin R U-500,rec9T0uKRU4yR4mO3,no devices,0
"Omnipod 5 (OR, WA Commercial)",,"CHIR_IDrecDFrsEYHYfMY7nO-305593-OROmnipod 5 (OR, ",recDFrsEYHYfMY7nO,no devices,0
Continuous Glucose Monitoring (CGM) (Commercial),,CHIR_IDrecTAjPA30Ucfo7va-305864-FLContinuous Gluc,recTAjPA30Ucfo7va,non-implanted only,5
"Brand Product with Unbranded Biologic (OR, WA Commercial)",,CHIR_IDrecKZgbwyVxqG9XH0-305974-ORBrand Product w,recKZgbwyVxqG9XH0,no devices,0
Diabetes Omnipod,,CHIR_IDrec0Repy4gD19vNd9-306110-AKDiabetes Omnipo,rec0Repy4gD19vNd9,no devices,0
Tzield (Commercial),,CHIR_IDrecMfHXHFguGKtF0o-306934-AKTzield (Commerc,recMfHXHFguGKtF0o,no devices,0
Filing Claims - Ancillary Services,,CHIR_IDrecPt3r1If00HmqI5-306938-TXFiling Claims -,recPt3r1If00HmqI5,no devices,0
Tzield (teplizumab-mzwv) (Commercial),,CHIR_IDrecx7YNbwkzl2AdMO-307138-AKTzield (teplizu,recx7YNbwkzl2AdMO,no devices,0
Afrezza (Commercial),,CHIR_IDrecFLNHQ7r4618PAl-307140-AKAfrezza (Commer,recFLNHQ7r4618PAl,no devices,0
Tzield (Teplizumab-Mzwv) (Individual Exchange),,CHIR_IDrecnYkkU8z3LecTk9-307156-AZTzield (Teplizu,recnYkkU8z3LecTk9,no devices,0
Oscar and Cigna Express Scripts High Performance Formulary (PA Health Plan),,CHIR_IDrecqcwFXQ0JRL9UiJ-309486-PAOscar and Cigna,recqcwFXQ0JRL9UiJ,non-implanted only,6
Oscar and Cigna Express Scripts High Performance Formulary (PA Health Plan),,CHIR_IDrecIYkYuDLeGH0CYF-309486-PAOscar and Cigna,recIYkYuDLeGH0CYF,non-implanted only,6
Tzield (Commercial),,CHIR_IDrecMMln9Mf3A9jVxY-309602-AKTzield (Commerc,recMMln9Mf3A9jVxY,no devices,0
Care Choices for Simple Choices Medication Guide (FL Health Plan),,CHIR_IDrecmxsU5Z2OoJa5wx-309612-AKCare Choices fo,recmxsU5Z2OoJa5wx,non-implanted only,5
"Remote Patient Monitoring (RPM) and Remote Therapeutic Monitoring (RTM) (Commercial, Medicare)",,CHIR_IDrectDvDFqE7xEgcTC-310044-AKRemote Patient ,rectDvDFqE7xEgcTC,no devices,0
"Northwest Self-Funded Formulary (OR, WA Health Plan)",,CHIR_IDrecL9r5ATpLaWSLrF-310310-ORNorthwest Self-,recL9r5ATpLaWSLrF,no devices,0
"Northwest Self-Funded Formulary (OR, WA Health Plan)",,CHIR_IDrecUBae7CizF79ydZ-310310-ORNorthwest Self-,recUBae7CizF79ydZ,no devices,0
"Northwest Self-Funded Formulary (OR, WA Health Plan)",,CHIR_IDrecW5xr1IAe9kwZcA-310310-ORNorthwest Self-,recW5xr1IAe9kwZcA,no devices,0
Innovation Health Standard Plan Pharmacy Drug Guide (Health Plan),,CHIR_IDrec7Lt5WEYdrxgA8Y-310574-AKInnovation Heal,rec7Lt5WEYdrxgA8Y,both implanted and non-implanted,9
Innovation Health Standard Opt Out Plan with ACSF Pharmacy Drug Guide (Health Plan),,CHIR_IDrec6d3N09C8zha8jy-310578-AKInnovation Heal,rec6d3N09C8zha8jy,non-implanted only,6
TZield,,CHIR_IDrecXX6DRmrNEWXbYU-310676-AKTZield,recXX6DRmrNEWXbYU,no devices,0
General Medication Prior Authorization Form (AZ),,CHIR_IDrecbXqP5ZgL0JGeSj-310742-AZGeneral Medicat,recbXqP5ZgL0JGeSj,no devices,0
General Prior Authorization Form (IL),,CHIR_IDrec9DqljQZJDuZwXO-310744-ILGeneral Prior A,rec9DqljQZJDuZwXO,no devices,0
General Medication Prior Authorization Form (NM),,CHIR_IDrecSibm85rNaRY449-310745-NMGeneral Medicat,recSibm85rNaRY449,no devices,0
Large Group Care Choices Medication Guide (FL Health Plan),,CHIR_IDrecmfjO2kbN9vzFRn-310802-FLLarge Group Car,recmfjO2kbN9vzFRn,non-implanted only,5
Large Group ValueScript Rx Medication Guide (FL Health Plan),,CHIR_IDrecCaIH7PomONSHnG-310810-FLLarge Group Val,recCaIH7PomONSHnG,non-implanted only,5
